house,std	
054,7.788886833784736	
041,9.354466220078749	
105,9.494947905925585	
056,9.495007084204515	
115,9.830440993920295	
037,10.259347620452889	
114,11.175021969544025	
060,13.862514673637575	
077,18.10001462177768	
026,18.186765587526192	
020,18.27114235867535	
073,18.59785327662033	
021,18.67362959101999	
017,18.76943178572664	
024,19.03488076657629	
113,20.46619689942955	
011,27.499029382060446	
018,34.13525576578022	
075,118.12118430338579	
048,135.2152717942549	
108,145.0659678832896	
057,152.46894938422906	
058,152.5856617326221	
055,152.9313315834573	
091,156.50017885582116	
053,157.88874493033737	
096,180.48438979522254	
094,184.8741511260587	
083,271.6739513834306	
078,280.9155265278898	
051,285.7387807263373	
025,322.86525825755757	
098,372.28314867277663	
047,389.90746458629553	
117,485.3423113448492	
072,533.4630929955241	
109,544.6651891119095	
106,562.693403920208	
118,642.4419057439777	
010,643.2028084122221	
061,693.9373467416623	
005,701.4294260991863	
085,707.0724364772669	
095,711.1173969144675	
012,711.4752798858566	
046,718.6324212956998	
093,720.4567144019693	
015,723.6325958435178	
120,729.665546676532	
092,730.4694117387604	
102,730.7369818588782	
022,734.3220054541132	
016,747.5082355835489	
043,750.9307845146586	
065,751.6969065880004	
059,763.3376346097598	
087,763.8659047030869	
008,765.9977082209986	
081,770.51399422343	
023,773.3860643468865	
112,778.5556877949493	
076,803.3645252189625	
097,826.1767078292521	
038,875.3398069274014	
116,878.6891172294702	
101,917.7541470432221	
049,952.6040384850011	
110,977.2517403712045	
111,1023.3462642426725	
079,1028.798175473632	
107,1041.4124317938945	
050,1062.4363265715633	
103,1079.0826173000503	
089,1233.073856656743	
099,1242.9168246751549	
006,1270.9692832338515	
071,1295.6135080887445	
080,1311.9007180257759	
070,1427.9921926066042	
009,1435.47554493554	
086,1471.714281507609	
088,1511.3513623289643	
063,1617.673474469183	
100,1646.8894297588292	
104,1714.3924185960173	
052,1925.5601001985708	
062,1968.2452723186664	
042,1988.5819297176863	
069,1995.416483242384	
007,2136.951023975665	
002,2847.9775143627735	
082,3073.335467233939	
045,3140.4466558673253	
027,3264.1744722608973	
028,3337.4799892887377	
014,3533.2159716751025	
003,3735.611754052444	
013,3782.397493258888	
001,3832.397975658816	
067,3850.5225225644444	
030,3896.2109191780182	
031,4112.298729381252	
119,5296.033175665247	
084,5451.143283895327	
040,6733.508372372809	
033,6980.454878693862	
068,7161.60408394531	
029,7348.223459349077	
066,7545.600176928774	
032,7661.314653840209	
019,8820.145272959524	
044,8870.300384336277	
004,10201.8389607268	
074,11126.172074789265	
064,13201.553236807427	
039,13482.037650939981	
090,14603.076016708404	
034,17372.844489980103	
035,19089.25670370184	
036,29750.55779646966	
